Module,TXT,RO,DATA,BSS,TOTAL,FatalCount,F3Count
apps_proc/core/debugtools/sys_m/src/lib/9205/apps/sys_m.c,4656,863,232,536,6293,0,48
apps_proc/core/debugtools/sys_m/src/lib/9205/apps/sys_m_smp2p.c,594,84,28,56,766,0,11
apps_proc/core/debugtools/sys_m/src/lib/9205/apps/sys_m_diag.c,430,84,12,104,630,0,4
apps_proc/core/debugtools/sys_m/src/lib/9205/apps/HAL_sys_m.c,12,0,0,0,12,0,0
apps_proc/core/debugtools/sys_m/src/lib/9205/apps/sys_m_nzi.c,0,0,0,90,90,0,0
apps_proc/core/debugtools/sys_m/src/qmi_ssctl_v02_client.c,1546,144,16,320,2026,0,26
apps_proc/core/debugtools/sys_m/src/qmi_ssctl_ser_v02.c,696,115,16,0,829,0,20
apps_proc/core/debugtools/sys_m/src/sys_m_qmi.c,66,0,0,0,70,0,0
apps_proc/core/debugtools/tms_diag/src/tms_diag.c,128,0,0,0,128,0,1
apps_proc/core/debugtools/internal/dnt_nv_efs/src/dnt_nv_efs.c,680,76,12,16,784,0,11
apps_proc/core/debugtools/internal/tms_dload/src/tms_dload.c,144,16,8,0,168,0,0
apps_proc/core/debugtools/internal/tms_edl/src/tms_edl.c,234,40,1,80,361,0,4
apps_proc/core/debugtools/rcinit/src/rcinit_qurt.c,246,338,0,0,588,0,10
apps_proc/core/debugtools/rcinit/src/rcinit_init.c,2816,723,8,128,3677,0,31
apps_proc/core/debugtools/rcinit/src/rcinit_qurt_hs_list.c,602,0,0,64,666,0,0
apps_proc/core/debugtools/rcinit/src/rcinit_qurt_tls.c,12,0,0,0,12,0,0
apps_proc/core/debugtools/rcinit/src/rcinit_qurt_task.c,216,29,8,128,387,0,3
apps_proc/core/debugtools/rcinit/src/rcinit_lookup.c,780,0,0,0,780,0,0
apps_proc/core/debugtools/rcinit/src/rcinit_qurt_term.c,1676,1934,0,144,3758,0,55
apps_proc/core/debugtools/rcinit/src/rcinit_internal.c,0,1095,92,3928,5141,0,0
apps_proc/core/debugtools/rcevt/src/rcesn.c,1710,18,1,16,1747,0,1
apps_proc/core/debugtools/rcevt/src/rcecb.c,1846,18,1,16,1893,0,1
apps_proc/core/debugtools/rcevt/src/rcevt.c,1084,0,0,0,1084,0,0
apps_proc/core/debugtools/rcevt/src/rcevt_common.c,798,35,0,0,839,0,2
apps_proc/core/debugtools/rcevt/src/rcevt_qurt.c,50,0,0,0,50,0,0
apps_proc/core/debugtools/rcevt/src/rcevt_internal.c,0,0,0,4516,4524,0,0
apps_proc/core/debugtools/rcxh/src/rcxh.c,850,523,16,0,1399,0,20
apps_proc/core/debugtools/task/src/coremain.c,112,21,4,128,267,0,1
apps_proc/core/debugtools/task/src/mobile.c,0,331,4,0,341,0,0
apps_proc/core/debugtools/dog/src/dog.c,1530,720,640,1000,3898,0,9
apps_proc/core/debugtools/dog/src/hal/9205/apps/HALdog.c,186,19,12,0,223,0,1
apps_proc/core/debugtools/utils/src/tms_utils_fmt.c,874,0,0,0,874,0,0
apps_proc/core/debugtools/utils/src/tms_utils_msg.c,8,0,20,0,28,0,0
apps_proc/core/debugtools/eic/src/err_inject_crash.c,492,49,16,120,683,0,10
apps_proc/core/debugtools/eic_rpm/src/err_inject_crash_rpm.c,228,20,4,120,372,0,2
apps_proc/core/debugtools/version/src/version_init.c,6,0,0,0,10,0,0
apps_proc/core/debugtools/version/src/version_diagpkt.c,112,32,8,0,152,0,0
apps_proc/core/debugtools/version/src/image_version.c,272,0,4,0,276,0,0
apps_proc/core/debugtools/subsys/src/subsys_stub.c,4,0,0,0,8,0,0
apps_proc/core/debugtools/rcinit_playbook/build/apps_proc/cortex-a7/ACENAAKZ/rcinit_autogen.c,0,6913,616,760,8671,0,0
apps_proc/core/kernel/libstd/src/libstd_std_scanul.c,258,0,0,0,262,0,0
apps_proc/core/kernel/libstd/src/strnlen.c,20,0,0,0,20,0,0
apps_proc/core/kernel/libstd/src/secure_memset.c,20,0,0,0,24,0,0
apps_proc/core/kernel/libstd/src/memsmove.c,30,0,0,0,34,0,0
apps_proc/core/kernel/libstd/src/memmove_s.c,58,0,0,0,62,0,0
apps_proc/core/kernel/libstd/src/memscmp.c,34,0,0,0,34,0,0
apps_proc/core/kernel/libstd/src/strlcat.c,86,0,0,0,90,0,0
apps_proc/core/kernel/libstd/src/strcasecmp.c,8,0,0,0,8,0,0
apps_proc/core/kernel/libstd/src/strncasecmp.c,68,0,0,0,68,0,0
apps_proc/core/kernel/libstd/src/atoi.c,84,0,0,0,84,0,0
apps_proc/core/kernel/libstd/src/strlcpy.c,66,0,0,0,70,0,0
apps_proc/core/kernel/libstd/src/memscpy.c,114,0,0,0,118,0,0
apps_proc/core/kernel/libstd/src/memsset.c,18,0,0,0,22,0,0
apps_proc/core/kernel/devcfg/src/DALSysInt.c,126,0,16,0,142,0,0
apps_proc/core/kernel/devcfg/src/DALProps.c,1688,235,0,0,1925,0,0
apps_proc/core/kernel/devcfg/build/apps_proc/cortex-a7/ACENAAKZ/DevCfg_9205_apps.c,0,15636,1928,0,17572,0,0
apps_proc/core/kernel/devcfg/build/apps_proc/cortex-a7/ACENAAKZ/DevCfg_9205_data_apps.c,0,16,0,0,16,0,0
apps_proc/core/kernel/devcfg/build/apps_proc/cortex-a7/ACENAAKZ/DevCfgSegInfo_9205_apps.c,0,0,32,0,32,0,0
apps_proc/core/kernel/rtos/threadx/build/apps_proc/cortex-a7/ACENAAKZ/src/tx_thread_interrupt_disable.o.i,12,0,0,0,12,0,0
apps_proc/core/kernel/rtos/threadx/build/apps_proc/cortex-a7/ACENAAKZ/src/tx_thread_interrupt_restore.o.i,8,0,0,0,8,0,0
apps_proc/core/kernel/rtos/threadx/build/apps_proc/cortex-a7/ACENAAKZ/src/tx_initialize_low_level.o.i,228,0,4,0,232,0,0
apps_proc/core/kernel/rtos/threadx/build/apps_proc/cortex-a7/ACENAAKZ/src/tx_thread_context_restore.o.i,276,0,0,0,276,0,0
apps_proc/core/kernel/rtos/threadx/build/apps_proc/cortex-a7/ACENAAKZ/src/tx_thread_context_save.o.i,112,0,0,0,112,0,0
apps_proc/core/kernel/rtos/threadx/build/apps_proc/cortex-a7/ACENAAKZ/src/tx_thread_irq_nesting_end.o.i,36,0,0,0,36,0,0
apps_proc/core/kernel/rtos/threadx/build/apps_proc/cortex-a7/ACENAAKZ/src/tx_thread_irq_nesting_start.o.i,36,0,0,0,36,0,0
apps_proc/core/kernel/rtos/threadx/build/apps_proc/cortex-a7/ACENAAKZ/src/tx_thread_schedule.o.i,792,0,0,0,792,0,0
apps_proc/core/kernel/rtos/threadx/build/apps_proc/cortex-a7/ACENAAKZ/src/tx_thread_stack_build.o.i,136,0,0,0,136,0,0
apps_proc/core/kernel/rtos/threadx/build/apps_proc/cortex-a7/ACENAAKZ/src/tx_thread_system_return.o.i,112,0,0,0,112,0,0
apps_proc/core/kernel/rtos/threadx/build/apps_proc/cortex-a7/ACENAAKZ/src/tx_timer_interrupt.o.i,240,0,0,0,240,0,0
apps_proc/core/kernel/rtos/threadx/build/apps_proc/cortex-a7/ACENAAKZ/src/tx_thread_interrupt_control.o.i,24,0,0,0,24,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_initialize_kernel_enter.c,76,0,0,0,76,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_initialize_high_level.c,76,0,52,0,128,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_thread_initialize.c,144,87,156,1088,1475,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_timer_initialize.c,216,0,52,1472,1740,0,0
